Kategori,Belød
Tilbehør,1308.1625
Spiritus,3638.325
Vand,175.35
Energi,0.0
Pant,194.00000000000003
Cider,0.0
Fadøl,0.0
Miljøtillæg,21.85
Total,5337.687499999998
Tilbehør,0.0
Spiritus,0.0
Vand,0.0
Energi,0.0
Pant,0.0
Cider,0.0
Fadøl,0.0
Miljøtillæg,0.0
Total,0.0
